bear,--,transport,ski,fish,panel,recommend,snowboard,employ,grizzli,TargetClass
0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.08,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.0,0.0,0.22,0.0,0.0,0.364,0.106,0.0,0.0,0.0,canada-transportation-roads
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.013,0.227,0.0,0.0,0.187,0.0,0.0,0.0,0.0,0.0,river-fishing
0.0,0.0,0.0,0.0,0.249,0.0,0.0,0.0,0.0,0.0,river-fishing
0.0,0.0,0.218,0.0,0.0,0.484,0.479,0.0,0.0,0.0,canada-transportation-roads
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.072,0.01,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,career-services
0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.004,0.0,health-services
0.0,0.0,0.0,0.0,0.223,0.0,0.0,0.0,0.0,0.0,river-fishing
0.373,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.029,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.337,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.069,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,health-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,co-op
0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,health-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.005,0.0,0.0,0.205,0.0,0.0,0.0,0.069,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,river-fishing
0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.031,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.009,0.0,canada-transportation-roads
0.0,0.0,0.0,0.433,0.0,0.0,0.0,0.506,0.0,0.0,snowboarding-skiing
0.0,0.0,0.218,0.0,0.0,0.484,0.479,0.0,0.0,0.0,canada-transportation-roads
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,career-services
0.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black-bear-attack
0.013,0.0,0.0,0.0,0.472,0.0,0.0,0.0,0.0,0.0,river-fishing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,career-services
0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,co-op
0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.031,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.406,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.03,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,career-services
0.03,0.0,0.0,0.0,0.649,0.0,0.0,0.0,0.0,0.0,river-fishing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,co-op
0.0,0.0,0.0,0.028,0.239,0.0,0.0,0.0,0.0,0.0,river-fishing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.0,co-op
0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.016,0.0,0.0,snowboarding-skiing
0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.012,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,river-fishing
0.0,0.0,0.029,0.305,0.0,0.0,0.0,0.195,0.0,0.0,snowboarding-skiing
0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.073,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.0,career-services
0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.084,0.0,0.0,snowboarding-skiing
0.0,0.534,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,health-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,career-services
0.0,0.004,0.017,0.0,0.0,0.0,0.004,0.0,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,river-fishing
0.224,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.013,black-bear-attack
0.0,0.0,0.0,0.302,0.031,0.0,0.0,0.127,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.214,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.0,0.0,0.012,0.536,0.0,0.0,0.0,0.109,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,career-services
0.0,0.0,0.0,0.0,0.539,0.0,0.0,0.0,0.0,0.0,river-fishing
0.215,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.101,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,career-services
0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.003,0.0,canada-transportation-roads
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.0,co-op
0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co-op
0.003,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.009,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.159,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.004,0.0,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.317,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.1,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,co-op
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.195,0.0,0.012,0.0,0.0,0.0,river-fishing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,career-services
0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.0,river-fishing
0.0,0.0,0.0,0.0,0.267,0.0,0.017,0.0,0.0,0.0,river-fishing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canada-transportation-roads
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.071,0.0,career-services
0.006,0.0,0.0,0.19,0.0,0.0,0.0,0.069,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.004,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.011,0.0,co-op
0.051,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,river-fishing
1.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,black-bear-attack
0.0,0.035,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canada-transportation-roads
0.0,0.097,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,career-services
0.0,0.65,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,campuse-network
0.0,0.0,0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canada-transportation-roads
0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.083,0.0,career-services
0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canada-transportation-roads
0.0,0.022,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.465,0.0,0.0,0.0,0.754,0.046,0.0,snowboarding-skiing
0.0,0.0,0.014,0.26,0.024,0.0,0.0,0.016,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.18,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.009,black-bear-attack
0.0,0.0,0.018,0.0,0.0,0.0,0.005,0.0,0.0,0.0,canada-transportation-roads
0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.098,0.0,co-op
0.0,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canada-transportation-roads
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,co-op
0.0,0.462,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.202,0.0,0.008,0.0,0.0,0.0,river-fishing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,career-services
0.0,0.0,0.0,0.0,0.171,0.0,0.0,0.0,0.0,0.0,river-fishing
0.0,0.0,0.23,0.0,0.0,0.036,0.008,0.0,0.013,0.0,canada-transportation-roads
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.425,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.0,co-op
0.002,0.008,0.0,0.0,0.0,0.0,0.033,0.0,0.009,0.0,co-op
0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.019,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.0,0.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.0,co-op
0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.333,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.014,black-bear-attack
0.0,0.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canada-transportation-roads
0.0,0.0,0.17,0.0,0.0,0.303,0.112,0.0,0.0,0.0,canada-transportation-roads
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co-op
0.179,0.0,0.011,0.0,0.01,0.0,0.0,0.0,0.0,0.0,black-bear-attack
0.2,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.031,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,career-services
0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canada-transportation-roads
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.187,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.002,0.0,0.0,0.004,0.0,0.071,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.022,0.011,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,river-fishing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.0,0.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.017,0.0,0.105,0.0,0.0,0.0,0.019,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canada-transportation-roads
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.312,0.005,0.0,0.0,0.107,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.0,0.0,0.0,0.113,0.0,0.0,0.0,0.0,0.0,0.0,snowboarding-skiing
0.0,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.0,0.0,0.064,0.0,0.0,0.0,0.014,0.0,0.0,0.0,canada-transportation-roads
0.0,0.0,0.0,0.138,0.0,0.0,0.0,0.138,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.193,0.0,0.008,0.0,0.0,0.0,river-fishing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.239,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,co-op
0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,co-op
0.459,0.0,0.0,0.0,0.016,0.0,0.01,0.0,0.0,0.111,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,co-op
0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canada-transportation-roads
0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,career-services
0.0,0.0,0.0,0.0,0.295,0.0,0.0,0.0,0.0,0.0,river-fishing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,health-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.353,0.0,0.0,0.0,0.026,0.0,0.013,0.0,0.0,0.093,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,co-op
0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
