grizzli,resum,tb,panel,mont,subnet,snowboard,wart,steelhead,ctt,TargetClass
0,0,0,0,0,0,0.02040739646,0,0,0,snowboarding-skiing
0,0,0,0,0.036664694326,0,0.0259903723356,0,0,0,snowboarding-skiing
0,0,0,0,0,0,0.0059401811292,0,0,0,snowboarding-skiing
0.460106845825,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0,0,0,0,0.480022757915,0,0,0,0,campuse-network
0,0.0542058226089,0,0,0,0,0,0,0,0,career-services
0.0320735638125,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0,0.374536726322,0,0,0,0,0,0,0,health-services
0,0.0115100874391,0,0,0,0,0,0,0,0,career-services
0,0.0140878674385,0,0,0,0,0,0,0,0,career-services
0,0,0,0.00403735032368,0,0,0,0,0,0,canada-transportation-roads
0,0,0,0,0,0,0,0,0.0257403507868,0,river-fishing
0,0,0,0,0,0,0.0125896376171,0,0,0,snowboarding-skiing
0,0,0,0,0.5914613067,0,0.319836157224,0,0,0,snowboarding-skiing
0,0,0,0,0,0.163173813821,0,0,0,0,campuse-network
0,0,0,0,0,0,0,0,0,0.478293522128,campuse-network
0,0.0117603067312,0,0,0,0,0,0,0,0,career-services
0,0,0,0,0,0.0167555113612,0,0,0,0,campuse-network
0,0,0,0,0,0,0.0390060448715,0,0,0,snowboarding-skiing
0,0.00706232519108,0,0,0,0,0,0,0,0,career-services
0,0,0,0,0,0,0,0.0134414125762,0,0,health-services
0,0.0182514881794,0,0,0,0,0,0,0,0,career-services
0.0342388676985,0,0,0,0,0,0,0,0,0,black-bear-attack
0.0500901953368,0,0,0,0,0,0,0,0,0,black-bear-attack
0.00980025560937,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0.00477049479398,0,0,0,0,0,0,0,0,career-services
0.0450811758031,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0.0916905270571,0,0,0,0,0,0,0,0,career-services
0,0,0,0,0,0,0,0.153331669388,0,0,health-services
0,0,0,0,0,0,0.0120500817192,0,0,0,snowboarding-skiing
0,0.0601082344041,0,0,0,0,0,0,0,0,career-services
0.00613349330654,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0,0,0,0,0,0.0826966392497,0,0,0,snowboarding-skiing
0,0.0198159014519,0,0,0,0,0,0,0,0,career-services
0.251438670676,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0,0,0,0,0,0,0.0245694663114,0,0,health-services
0.0580800424457,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0,0,0,0,0,0.00733483235084,0,0,0,snowboarding-skiing
0,0,0,0,0,0,0.0306729352853,0,0,0,snowboarding-skiing
0,0.0855971692464,0,0,0,0,0,0,0,0,career-services
0.0970647325904,0,0,0,0,0,0,0,0,0,black-bear-attack
0.118382928501,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0,0,0,0,0,0.0451322248894,0,0,0,winter-canada
0,0,0,0,0,0,0.103939093502,0,0,0,snowboarding-skiing
0,0.0886842802684,0,0,0,0,0,0,0,0,career-services
0,0,0,0,0,0,0,0,0,0.382743706381,campuse-network
0.0169054409262,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0.0819657741874,0,0,0,0,0,0,0,0,career-services
0.0134906261755,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0,0,0,0,0,0.048200326877,0,0,0,snowboarding-skiing
0,0,0,0,0,0,0.0248821746415,0,0,0,snowboarding-skiing
0,0,0,0,0,0,0.00869593526131,0,0,0,snowboarding-skiing
0,0,0,0,0,0,0.044395037913,0,0,0,snowboarding-skiing
0,0,0,0.198641530475,0,0,0,0,0,0,canada-transportation-roads
0.107336132864,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0,1.21876934722,0,0,0,0,0,0,0,health-services
0,0,0,0,0,0,0,0,0.194639364853,0,river-fishing
0,0,0,0,0,0,0,0,0.16146220039,0,river-fishing
0,0.221938096261,0,0,0,0,0,0,0,0,career-services
0,0,0,0,0,0,0,0,0.0503853674975,0,river-fishing
0,0.0651776035707,0,0,0,0,0,0,0,0,career-services
0,0,0,0,0,0.14106083933,0,0,0,0,campuse-network
0,0,0,0,0,0,0,0,0.019844516249,0,river-fishing
0,0,0,0,0,0,0,0,0.111879319955,0,river-fishing
0,0,0,0,0,0,0,0,0.188295460053,0,river-fishing
0,0,0,0,0,0.204147609688,0,0,0,0,campuse-network
0.104744417583,0,0,0.00278659942614,0,0,0,0,0,0,black-bear-attack
0.028929096772,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0.031180063956,0,0,0,0,0,0,0,0,career-services
0,0,0,0.0133842138739,0,0,0,0,0,0,canada-transportation-roads
